id,level,grammar_point,connection,meaning,examples
22,N4+N3,星期,,,"[{""jp"": ""にちようび　日曜日　星期日"", ""cn"": """"}, {""jp"": ""げつようび　月曜日 星期一"", ""cn"": """"}, {""jp"": ""かようび　　火曜日 星期二"", ""cn"": """"}, {""jp"": ""すいようび　水曜日 星期三"", ""cn"": """"}, {""jp"": ""もくようび　木曜日 星期四"", ""cn"": """"}, {""jp"": ""きんようび　金曜日 星期五"", ""cn"": """"}, {""jp"": ""どようび　　土曜日 星期六"", ""cn"": """"}, {""jp"": ""なんようび　 星期几"", ""cn"": """"}]"
23,N4+N3,日期/时间,,问时间,"[{""jp"": ""昨天　昨日　きのう"", ""cn"": """"}, {""jp"": ""今天　　今日　きょう"", ""cn"": """"}, {""jp"": ""明天　　明日　あした"", ""cn"": """"}, {""jp"": ""后天　　明後日　あさって"", ""cn"": """"}, {""jp"": ""每天　　毎日　まいにち"", ""cn"": """"}, {""jp"": ""早晨　　朝　　あさ"", ""cn"": """"}, {""jp"": ""晚上　　ばん"", ""cn"": """"}, {""jp"": ""去年 去年　きょねん"", ""cn"": """"}, {""jp"": ""今天　　今年　ことし"", ""cn"": """"}, {""jp"": ""明年　　来年　らいねん"", ""cn"": """"}, {""jp"": ""后年　　さ来年　さらいねん"", ""cn"": """"}, {""jp"": ""每年　　毎年　まいとし"", ""cn"": """"}, {""jp"": ""上午 午前　ごぜん"", ""cn"": """"}, {""jp"": ""下午　　午後　ごご"", ""cn"": """"}, {""jp"": ""～分（ふん）"", ""cn"": """"}, {""jp"": ""～日（にち）"", ""cn"": """"}, {""jp"": ""～曜日（ようび）"", ""cn"": """"}, {""jp"": ""～月（がつ）"", ""cn"": """"}, {""jp"": ""～年（ねん）"", ""cn"": """"}, {""jp"": ""1 点いちじ 4 点　よじ 7 点しちじ 10 点　じゅうじ"", ""cn"": """"}, {""jp"": ""2 点にじ 5 点ごじ 8 点はちじ 11 点　じゅういちじ"", ""cn"": """"}, {""jp"": ""3 点さんじ 6 点ろくじ 9 点くじ 12 点　じゅうにじ"", ""cn"": """"}, {""jp"": ""0 点れいじ 何时　なんじ"", ""cn"": """"}, {""jp"": ""1 分 いっぷん 4 分 よんぷん 7 分ななふん 10 分　じゅっぷん"", ""cn"": """"}, {""jp"": ""2 分にふん 5 分ごふん 8 分はっぷん 11 分　じゅういっぷん"", ""cn"": """"}, {""jp"": ""3 分さんぷん 6 分ろっぷん 9 分きゅうふん 15 分　じゅうごふん"", ""cn"": """"}, {""jp"": ""30 分さんじゅっぷん、はん 45 分よんじゅうごふん 几分　なんぷん"", ""cn"": """"}, {""jp"": ""今何時ですか（いまなんじですか）"", ""cn"": """"}]"
24,N4+N3,あります/います,,～ 所里有～ 场,"[{""jp"": ""【表示 所的名】に【表示物或人的名】が　あります 场 /います"", ""cn"": """"}, {""jp"": ""【表示物或人的名】は【表示 所的名】にあります 场 /います"", ""cn"": """"}]"
25,N4+N3,【名】と【名】表示并列 意思相当于 中的 和 “ ” 汉语,,,[]
26,N4+N3,上（うえ）/下（した）/前（まえ）/後ろ（うしろ）/隣（となり）/中（なか）/外（そと）,,,"[{""jp"": ""表示具体位置时，用 名词 “ + の　+ 上/下/前/後ろ/隣/中/外”"", ""cn"": """"}, {""jp"": ""机（つくえ）の上に　猫（ねこ）が　います　桌子上有只猫"", ""cn"": """"}]"
27,N4+N3,ね「确 」认,,,"[{""jp"": ""当说话人就某事征求听话人的同意时，句尾用助词 ね“ ”,读升调"", ""cn"": """"}, {""jp"": ""あそこに　犬（いぬ）が　いますね　那儿有只狗啊"", ""cn"": """"}]"
28,N4+N3,疑问词 + も　+ 【否定 】表示全面否定 动,,,"[{""jp"": ""教室（きょうしつ）に　だれも　いません 教室里谁也没有"", ""cn"": """"}]"
29,N4+N3,今（いま）　～時（じ）　～分（ふん）です,,,"[{""jp"": ""表示现在的时间，常用今　～時　～分です"", ""cn"": """"}, {""jp"": ""：今　四時　です　现在 4 点"", ""cn"": """"}]"
30,N4+N3,"【 】ます　【 】ません　肯定描述 在或将来的 作用ます 动 动 现 动 ,否定形式用ません",,,"[{""jp"": ""【 】ました　【 】ませんでした 动 动 肯定描述 去的 作用ました 过 动 ,否定形式用ませんでした"", ""cn"": """"}, {""jp"": ""わたしは　昨日（きのう）働き（はたらき）ませんでした　我昨天没上班"", ""cn"": """"}]"
31,N4+N3,【表示 的名】に【 】 时间 动,,,"[{""jp"": ""表示动作发生的时间，具体时间的后面,即包括具体的数字加に，否则不加"", ""cn"": """"}, {""jp"": ""もりさんは　七時　に　起きます　森先生 7 点起床"", ""cn"": """"}]"
32,N4+N3,【表示 的名】から【表示 的名】まで【 】 时间 时间 动,,表示动作发生在某个期间,"[{""jp"": ""わたしは　九時　から　五時　まで　働きます。"", ""cn"": """"}]"
33,N4+N3,いつ　【 】ますか 动,,,"[{""jp"": ""询问动作或事态进行的时间用いつ"", ""cn"": """"}]"
34,N4+N3,很具体 ，在表示 的 后面加 に 询问时间 时 时间 词语 “ ”,,,"[{""jp"": ""何時に（なんじに）、何曜日（なんようび）に、何日（なんにち）に"", ""cn"": """"}]"
35,N4+N3,【表示 所的名】へ【 】 场 动,,,[]
36,N4+N3,【表示 所的名】から【 】 场 动,,,[]
37,N4+N3,【表示人的名】と【 】动,,某某和某某一块做某事,"[{""jp"": ""りさんは　たれ　と　日本へ　きましたか"", ""cn"": """"}]"
38,N4+N3,【表示交通工具的名】で【 】动,,利用什 么交通工具到～,"[{""jp"": ""不使用交通工具， 行用 あるいて 步 “ ”"", ""cn"": """"}, {""jp"": ""：京都へ　何で　きましたか　你怎么来京都的？"", ""cn"": """"}]"
39,N4+N3,【表示 所的名】から【表示 所的名】まで【 】 场 场 动,,,[]
40,N4+N3,【名】を【 】动,,,"[{""jp"": ""动作的对象用助词 を ，这里的 を 读作 お 　 “ ” “ ” “ ”"", ""cn"": """"}, {""jp"": ""李さんは　毎日（まいにち）コーヒー　を　飲みます（のみます）"", ""cn"": """"}]"
41,N4+N3,【名】を します,,1）运动、游戏等,"[{""jp"": ""在日语中します可以接很多的名词，使其做宾语，意思是实行宾语所表示的内容。"", ""cn"": """"}, {""jp"": ""サッカーを　します　踢足球"", ""cn"": """"}, {""jp"": ""トランプ　を　します 打扑克"", ""cn"": """"}, {""jp"": ""会議（かいぎ）を　します　召开会议"", ""cn"": """"}, {""jp"": ""宿題（しゅくだい）します　做作业"", ""cn"": """"}]"
42,N4+N3,【表示 所的名】で【 】 场 动,,,"[{""jp"": ""动作的场所用助词で表示，存在的场所和动作进行的场所在汉语都用 在 来表示，但在日语里前者为 に “ ” “ ”"", ""cn"": """"}, {""jp"": ""，后者用 で 。"", ""cn"": """"}, {""jp"": ""李さんは　図書館（としょかん）で　勉強（べんきょう）します　小李在图书馆工作。"", ""cn"": """"}]"
43,N4+N3,【名】か【名】,,,"[{""jp"": ""对若干名词进行选择的时候，名词和名词之间加 か ，相当于汉语中 或者 “ ” “ ”"", ""cn"": """"}, {""jp"": ""休みは　何曜日ですか。"", ""cn"": """"}, {""jp"": ""ー休みは　月曜日（げつようび）か　火曜日（かようび）です。"", ""cn"": """"}]"
44,N4+N3,【名】を　ください,,,"[{""jp"": ""买东西或者在餐厅点菜时，用 ～　を　ください 的 “ ” 形式。"", ""cn"": """"}, {""jp"": ""この　本を　ください　我 本 买这 书"", ""cn"": """"}]"
45,N4+N3,何（なに）を　しますか,,这是询问要做什么的用法,"[{""jp"": ""月曜日（げつようび）何　を　しますか　星期一干什么？"", ""cn"": """"}]"
46,N4+N3,なん　なに,,（2） 询问带量词的数量时,"[{""jp"": ""なん用于以下的场合"", ""cn"": """"}, {""jp"": ""（1） 后续单词的词头是た行、だ行、な行"", ""cn"": """"}, {""jp"": ""何歳（なんさい）ですか　几岁了？"", ""cn"": """"}, {""jp"": ""以上情况以外的情况用なに"", ""cn"": """"}, {""jp"": ""何　を　買いますか　在车站买报纸"", ""cn"": """"}]"
47,N4+N3,【 】ませんか,,动,"[{""jp"": ""いっしょに　京都（きょうと）へ　いきませんか　不一起去京都 ？"", ""cn"": """"}, {""jp"": ""ええ、いいですね　好啊。"", ""cn"": """"}]"
48,N4+N3,【 】ましょう 动,,积极的提议、邀请、也用于积极的响应提议、邀请时。,"[{""jp"": ""ちょっと　休みましょう　稍微休息一下吧"", ""cn"": """"}]"
49,N4+N3,【表示工具的名】で【 】动,,表示利用某手段和原材料做某事,"[{""jp"": ""李さんは　日本語　で　手紙（てがみ）を　書きます。"", ""cn"": """"}]"
50,N4+N3,【表示人的名 1】は【表示人的名 2】に【表示物的名 3】を　あげます,,,"[{""jp"": ""あげます相当于 中的 ，物品用助 を ，接受者用助 に 表示。"", ""cn"": """"}, {""jp"": ""わだしは　小野さん（おのさん）に　お土産（おみやげ）を　あげます"", ""cn"": """"}]"
51,N4+N3,【表示人的名 1】は【表示人的名 2】に【表示物的名 3】を　もらいます,,,"[{""jp"": ""物品用 を 表示，赠送者用助词 に 表示。"", ""cn"": """"}, {""jp"": ""是物品的移 的起点，用助 から 来表示。"", ""cn"": """"}, {""jp"": ""わたしは　小野さん　に　辞書　を　もらいました"", ""cn"": """"}]"
52,N4+N3,【表示人的名】に 会（あ）います,,我在 站遇 了森先生。 车 见,"[{""jp"": ""会（あ）います相当于汉语中的“ ” “ ” 见 。"", ""cn"": """"}, {""jp"": ""所见的对象用助词 に 表示。"", ""cn"": """"}, {""jp"": ""わたしは　駅で（えきで）　森さん　に　会います。"", ""cn"": """"}]"
53,N4+N3,もう【 】ました 动,,表示完了。意思基本上相当于汉语中的“ ” 已经,"[{""jp"": ""昼ごはん（ひるごはん）を　食べましたか。"", ""cn"": """"}, {""jp"": ""ええ、もう　食べました。"", ""cn"": """"}]"
54,N4+N3,“词/句 は～ ” 語で　何ですか,,询问某个词或句子用别的语言怎么说。,"[{""jp"": ""「ありがとう」は　英語（えいご）で　何ですか。"", ""cn"": """"}, {""jp"": ""「Thank you」は　日本語で　なんですか。"", ""cn"": """"}]"
55,N4+N3,【名】は 【一 形】です 类,,,"[{""jp"": ""一 形容 是以 い 尾的形容 。"", ""cn"": """"}, {""jp"": ""做 要在其后后面加 です 类 词 “ ” “ ” 结 词 谓语时"", ""cn"": """"}, {""jp"": ""からい　です　辣"", ""cn"": """"}]"
56,N4+N3,【一 形】做 的否定形式 类 谓语时,,,"[{""jp"": ""一 形容 做 的否定形式是将 尾的 い 成 く 再加上 ないです 或 ありません 类 词 谓语时 词 “ ” “ ” “ ” “ ” 变"", ""cn"": """"}, {""jp"": ""高（たか）く　ありません　不 贵"", ""cn"": """"}, {""jp"": ""注意：いいです的否定形式是 よく　ないです 或者 よく　ありません “ ” “ ”"", ""cn"": """"}]"
57,N4+N3,【一 形】做 的 去形式 类 谓语时 过,,,"[{""jp"": ""一 形容 做 的 去形式是将 尾的 い 成 かった 再加上 です 。"", ""cn"": """"}, {""jp"": ""把词尾的 い“ ” “ ” “ ” 变成 く　なかったです 或 く　ありませんでした"", ""cn"": """"}, {""jp"": ""昨日は（きのうは）さむ　ありませんでした　昨天不冷。"", ""cn"": """"}]"
58,N4+N3,【一 形】 类 + 【名】,,,"[{""jp"": ""：広（ひろ）い国（くに）幅员辽阔的国家"", ""cn"": """"}]"
59,N4+N3,あまり　【一 形容 类 词/动词(否定)】,,,"[{""jp"": ""あまり和后面的否定形式呼 ，表示 应 程度不高"", ""cn"": """"}, {""jp"": ""この　スープは　あまり　あつく　あいです　 个 不 这 汤 热太 。"", ""cn"": """"}]"
60,N4+N3,表示程度的副词,,,"[{""jp"": ""とても/たいへん 很，非常"", ""cn"": """"}, {""jp"": ""すこし/ちょっと 一点儿"", ""cn"": """"}, {""jp"": ""あまり～ません 不太～"", ""cn"": """"}, {""jp"": ""ぜんぜん～ません　根本不～"", ""cn"": """"}]"
61,N4+N3,【名】は 【二 形】です 类 /でした,,,"[{""jp"": ""二类形容词是不以 い“ ” “ ” “ ” 结尾的形容词。"", ""cn"": """"}, {""jp"": ""做谓语时，要在后面加 です 。"", ""cn"": """"}, {""jp"": ""过去形式是 でした"", ""cn"": """"}, {""jp"": ""有名（ゆうめい）です有名"", ""cn"": """"}, {""jp"": ""静か（しずか）です　安静"", ""cn"": """"}]"
62,N4+N3,【名】は 【二 形】では　ありません 类 /では　ありませんでした,,,"[{""jp"": ""二类形容词做谓语时，否定形式是“ ” “ 【二类形】では　ありません 。"", ""cn"": """"}, {""jp"": ""其过去的否定形式是 【二类形】では"", ""cn"": """"}, {""jp"": ""ありませんでした 。"", ""cn"": """"}, {""jp"": ""在 ” “ ” “ ” 口语 说 中 では 一般 成 じゃ 。"", ""cn"": """"}, {""jp"": ""昨日（きのう）は　暇（ひま）じゃ　ありませんでした　昨天没空。"", ""cn"": """"}]"
63,N4+N3,【名】でした,,,"[{""jp"": ""名 做 的 去形式是 名 词 谓语时 过 词 “ +でした 。"", ""cn"": """"}, {""jp"": ""其否定形式是 名 ” “ 词+では(じゃ)　ありませんでした”"", ""cn"": """"}, {""jp"": ""昨日は　日曜日　ですた　昨天是星期日。"", ""cn"": """"}]"
64,N4+N3,どんな　【名】,,,"[{""jp"": ""询问人或食物的性质时用 どんな “ +【名】 。"", ""cn"": """"}, {""jp"": ""張さん（ちょうさん）は　どんな　人ですか。"", ""cn"": """"}]"
65,N4+N3,どうですか/どうでしたか,,～怎么样？,"[{""jp"": ""お茶（おちゃ）、どうですか。"", ""cn"": """"}]"
66,N4+N3,でも 和 そして “ ” “ ”,,,"[{""jp"": ""でも表示转折，但是"", ""cn"": """"}, {""jp"": ""そして表示并列，而且"", ""cn"": """"}]"
67,N4+N3,句子 1 が　句子 2,,,"[{""jp"": ""が是 接助 ，是 连 词 “ ” 但是 的意思。"", ""cn"": """"}, {""jp"": ""日本の食べ物（もの）は　おいしいですが、たかいです。"", ""cn"": """"}]"
68,N4+N3,どれ,,该疑问词表示从具体的三件以上的物品中选出一个特定的。,"[{""jp"": ""ミラーさん傘（かさ）はどれですか。"", ""cn"": """"}]"
69,N4+N3,常用的二 形容 类 词,,,"[{""jp"": ""好き（すき）喜 欢　　　　 嫌い（きらい） 讨厌　　 にぎやか 热闹　　しずか 安静"", ""cn"": """"}, {""jp"": ""便利（べんり）方便　　　 不 便（ふべん）不方便　 きれい　漂亮　　 暇（ひま）空闲"", ""cn"": """"}, {""jp"": ""元気（げんき）健康　　　 簡単（かんたん） 简单 親切（しんせつ） 热情　有名（ゆうめい）有名"", ""cn"": """"}]"
70,N4+N3,【名 1】は【名 2】が　【一 形】 类 /【二 形】です 类,,表达情感,"[{""jp"": ""好きです（すきです）　喜欢"", ""cn"": """"}, {""jp"": ""嫌いです（きらいです） 不喜欢"", ""cn"": """"}, {""jp"": ""怖いです（こわいです） 害怕"", ""cn"": """"}, {""jp"": ""林さん　犬（いぬ）が　怖いです　林先生害怕狗"", ""cn"": """"}]"
71,N4+N3,【名 1】は【名 2】が　分ります/できます,,表示能力，会做什么，擅长做什么,"[{""jp"": ""わたしは　にほんご　が　分ります。"", ""cn"": """"}, {""jp"": ""わたしは　コンピュータ　が　できません。"", ""cn"": """"}]"
72,N4+N3,【名】や【名】,,表示并列关系，作用相当于汉语中顿号。,"[{""jp"": ""わたしは　時々（ときどき）　中国（ちゅうごく）や韓国（かんこく）へ行きます"", ""cn"": """"}]"
73,N4+N3,～から,,和 だから “ ” “ ” 原因、理由,"[{""jp"": ""说明原因、理由时用助词 ～から 。"", ""cn"": """"}, {""jp"": ""～から 位于 “ ” “ ” 陈述原因、理由的小句的句尾。"", ""cn"": """"}, {""jp"": ""寒い（さむい）ですから、窓（まど）を　閉めます。"", ""cn"": """"}]"
74,N4+N3,だから 表示 “ ” “ ” 原因、理由的 ，意思相当于 中的 所以 ，其 连词 汉语 比较礼貌的 法是 说,,明天休息，所以我跟孩子去 物动 园。,"[{""jp"": ""“ですから 。"", ""cn"": """"}, {""jp"": ""だから ” “ ”放在结果句子的前面。"", ""cn"": """"}, {""jp"": ""明日は　やすみです。"", ""cn"": """"}, {""jp"": ""ですから、子供（こども）と　動物園（どうぶつえん）へ行きます"", ""cn"": """"}]"
75,N4+N3,どうして/どうしてですか,,,"[{""jp"": ""どうして询问原因，どうしてですか不重复对方说话时用"", ""cn"": """"}, {""jp"": ""“ ” “ ” 回答的时候在谓语的后面加 から"", ""cn"": """"}, {""jp"": ""どうして朝（あさ）新聞（しんぶん）を　読みませんか。"", ""cn"": """"}, {""jp"": ""時間（じかん）が　ありませんから。"", ""cn"": """"}]"
76,N4+N3,【名 1】は【名 2】より　【一 形】 类 /【二 形】です 类,,比较名词 1 和名词 2，名词 1 比名词 2 更具有该句形容词所表示的性质。,"[{""jp"": ""中国は　日本　より 広いです。"", ""cn"": """"}]"
77,N4+N3,【名 1】より【名 2】の　ほうが　【一 形】 类 /【二 形】です 类,,与名 1 相比名 2 更～,"[{""jp"": ""日本より　中国　の　ほうが　広いです。"", ""cn"": """"}]"
78,N4+N3,【名 1】は【名 2】ほど　【一 形】く　ないです 类 /【二 形】では　ありません 类,,名 1 不及名词 2～,"[{""jp"": ""東京の　冬は（ふゆ）　ペキンの　冬 ほど　さむ　く　ないです。"", ""cn"": """"}]"
79,N4+N3,【名 1】の　中（なか）で　【名 2】が　いちばん　【一 形】 类 /【二 形】です 类,,在某个范围中内，名词 2 更具有该句形容词的性质时使用,"[{""jp"": ""日本料理（にほんりょうり）の　中で　寿司（すし）　が　いちばん　おいしいです"", ""cn"": """"}]"
80,N4+N3,【表示 所场 /时间名 1】で　いちばん 【一 形】 类 /【二 形】【名 类 2】は【名 3】です,,在【表示场所/时间名 1】中，最～的【名 2】是【名 3】,"[{""jp"": ""一年（いちねん）で　いちばん　寒い（さむい）　月は　二月（にがつ）です。"", ""cn"": """"}]"
81,N4+N3,【名 1】と【名 2】と　どちらが　【一 形】 类 /【二 形】ですか 类,,,"[{""jp"": ""【名 1】和【名 2】哪一个更，回答的时候使用 ～の　 “ ” ほうが～"", ""cn"": """"}, {""jp"": ""如果两者程度相当， 则使用 とちらも～です “ ”"", ""cn"": """"}, {""jp"": ""日本語　と　英語　と　どちらが　難しい（むずかしい）ですか。"", ""cn"": """"}, {""jp"": ""日本語　の　ほうが　難しいです。"", ""cn"": """"}]"
82,N4+N3,どの　【名】いつ　どれ　だれ　なにが　いちばん　【一 形】 类 /【二 形】ですか 类,,在～中，哪个最～,[]
83,N4+N3,【表示数量名】+ 【 】动,,,[]
84,N4+N3,【表示 名】 时间 + 【 】动,,说明动作、状态持续的时间。,"[{""jp"": ""李さんは　毎日（まいにち）七時がん　働きます（はたきます）"", ""cn"": """"}]"
85,N4+N3,【表示 名】に【表示数 时间 量名】+ 【 】动,,表示在一定时间内进行若干次动作,"[{""jp"": ""この　花（はな）は　二年（にねん）に　一度（いちど）这种花 两每 开年 一次。"", ""cn"": """"}]"
86,N4+N3,【表示数量名】+ で,,用于不称重量而以数个的方式售物,"[{""jp"": ""この　ケーキは　３個で　５００円です（ごひゃくえん）这种蛋糕 3 个 500 日元。"", ""cn"": """"}]"
87,N4+N3,的 て形 动词 “ ”,,动词的分类,"[{""jp"": ""一 ： ます形 去 类动词 动词 动词 “ ” “ ” “ ” 掉 ます 后的最后一个音位于 い段 的 绝 类 大部分属于一 。"", ""cn"": """"}, {""jp"": ""二类动词：最后一个音位于 え“ ” “ ” 段 的动词，以及位于 い段 上的小部分动词属于二类动词。"", ""cn"": """"}, {""jp"": ""三类动词：来ます、します、勉強します（べんきょうします）、卒供します（そつきょうします）等使用“"", ""cn"": """"}, {""jp"": ""します 的动词都 ” 属于三类动词。"", ""cn"": """"}, {""jp"": ""“ます形 て形 的 ” “ ” 变 规律："", ""cn"": """"}, {""jp"": ""一 て形 的 类动词“ ” “ ” “ ” “ ” “ ” 变换方式是 ます形 去 动词 时 发 掉 ます 后加 て ，加 て 的 候 音会有些 化变 。"", ""cn"": """"}, {""jp"": ""即き->いて　ぎ->いで　び,み,に->んで　ち,り,い->って　し->して"", ""cn"": """"}, {""jp"": ""二类动词和三类动词的 て“ ” “ ” “ ” “ ” 形 都是 ます形 去掉 ます 后直接加 て 。"", ""cn"": """"}, {""jp"": ""类别 ます形 　　　 て形"", ""cn"": """"}, {""jp"": ""書きます（かきます写）　　　　　　　　かいて"", ""cn"": """"}, {""jp"": ""行きます（いきます去）　　　　　　　　いって"", ""cn"": """"}, {""jp"": ""急げます（いそげます急）　　　　　　　いそいで"", ""cn"": """"}, {""jp"": ""飛びます（とびます ）　　　　　　　　とんで 飞"", ""cn"": """"}, {""jp"": ""読みます（よみます ）　　　　　　　　よんで 读"", ""cn"": """"}, {""jp"": ""死にます（しにます死）　　　　　　　　しんで"", ""cn"": """"}, {""jp"": ""待ちます（まちます等）　　　　　　　　まって"", ""cn"": """"}, {""jp"": ""売ります（うります ）　　　　　　　　うって 卖"", ""cn"": """"}, {""jp"": ""買います（かいます ）　　　　　　　　かって 买"", ""cn"": """"}, {""jp"": ""話します（はなします ）　　　　　　　はなして 说"", ""cn"": """"}, {""jp"": ""食べます（たべます吃）　　　　　　　　たべて"", ""cn"": """"}, {""jp"": ""見ます（みます看）　　　　　　　　　　みて"", ""cn"": """"}, {""jp"": ""来ます（きます来）　　　　　　　　　　きて"", ""cn"": """"}, {""jp"": ""します（做） して"", ""cn"": """"}, {""jp"": ""注意：行きます属于例外，其 て形 是 いって “ ” “ ”"", ""cn"": """"}]"
88,N4+N3,【 】て【 】　相 生 动 动 继发,,,"[{""jp"": ""表述两个以上的动作依照时间顺序相继发生时，可以使用 动词て “ 形+动词 的” 形式来表示。"", ""cn"": """"}, {""jp"": ""図書館（としょかん）へ　いって　本を　かりて、帰ります。"", ""cn"": """"}]"
89,N4+N3,【 】てから【 】　相 生 动 动 继发,,,"[{""jp"": ""表述两个以上的动作依照时间顺序相继发生时，可以使用 动词て “ 形+から+动词 的” 形式来表示。"", ""cn"": """"}]"
90,N4+N3,【 】て　ください 动,,请求某人做某事时使用。,"[{""jp"": ""ここに　住所（じゅうしょ）と名前（なまえ）を　書いて　ください"", ""cn"": """"}]"
91,N4+N3,【表示 所名】を【 】　表示 ， 场 动 经过 开离,,,"[{""jp"": ""この　バスは　駅前（えきまえ）を　通（とお）ります。"", ""cn"": """"}, {""jp"": ""李さんは　毎朝（まいあさ）七時に　家（いえ）を　でます。"", ""cn"": """"}]"
92,N4+N3,【 】て います,,动 进 正在 行,"[{""jp"": ""森さんは　今　仕事（しごと）を　して　います。"", ""cn"": """"}]"
93,N4+N3,【 】ても　いいです　表示 可，可以 动 许,,,"[{""jp"": ""家（いえ）に　帰（かえ）っても　いいですか。"", ""cn"": """"}, {""jp"": ""はい、かえっても　いいです　是的，可以回家了。"", ""cn"": """"}]"
94,N4+N3,【 】ては　い 动 けません　表示禁止使用,,,"[{""jp"": ""飛行機（ひこうき）の　中（なか）で　タバコを　すっては　いけません"", ""cn"": """"}]"
95,N4+N3,【表示附着点的名】に【 】动,,表示人或物体的附着点，即人或物体停留在交通工具或椅子上等时。,"[{""jp"": ""李さんは　電車（でんしゃ）　に　のりました　小李上了电车。"", ""cn"": """"}]"
