level,word,pitch_accent,pos,reading,meaning
 2-N3::2-中低频,この前,③,名,このまえ,最近，之前；上次
 2-N3::2-中低频,この辺,⓪,名,このへん,这附近
 1-N4+N5,コピー,①,他動3・名,copy,复印（件）；拷贝
 1-N4+N5,ごみ箱,③⓪,名,ごみばこ,垃圾箱
 2-N3::1-高频,ゴルフ,①,名,golf,高尔夫
 1-N4+N5,これ,⓪,代,これ,（指代靠近说话者的事物）这个
 1-N4+N5,こんな,⓪,連体・ナ形,こんな,这样，这种
 1-N4+N5,コンビニ,⓪,名,convenience store,便利店
 1-N4+N5,ご飯,①,名,ごはん,米饭；吃饭
 1-N4+N5,さあ,①,感,さあ,（催促或邀请别人）快，喂；（犹豫或感到为难时）唉
 1-N4+N5,サッカー,①,名,soccer,足球
 1-N4+N5,しかし,②,接,しかし,可是，不过
 1-N4+N5,じゃ,①,接,じゃ,那么
 1-N4+N5,シャツ,①,名,shirt,衬衫
 1-N4+N5,シャワー,①,名,shower,淋浴
 1-N4+N5,ジュース,①,名,juice,果汁
 1-N4+N5,しょうゆ,⓪,名,しょうゆ,酱油
 2-N3::2-中低频,ショッピング,①,名・自動3,shopping,购物
 1-N4+N5,すいか,⓪,名,すいか,西瓜
 2-N3::2-中低频,スープ,①,名,soup,汤
 1-N4+N5,スカート,②,名,skirt,裙子
 1-N4+N5,スキー,②,名,ski,滑雪
 4-N1::3-低频,すき焼き,⓪,名,すきやき,寿喜烧
 1-N4+N5,すぐ,①,副,すぐ,立刻，马上；很近
 1-N4+N5,ずつ,,副助,ずつ,每……
 1-N4+N5,ストーブ,②,名,stove,暖炉，炉子
 2-N3::2-中低频,すばらしい,④,イ形,すばらしい,出色的，优秀的
 2-N3::2-中低频,スプーン,②,名,spoon,汤匙，勺子
 1-N4+N5,スポーツ,②,名,sport,运动，游戏
 1-N4+N5,ズボン,②①,名,(フ) jupon,裤子
 4-N1::2-中频,ずらり,②,副,ずらり,（人或物）排列状
 1-N4+N5,スリッパ,①②,名,slipper,（室内用）拖鞋
 1-N4+N5,する,⓪,自他動3,する,做
 1-N4+N5,セーター,①,名,sweater,毛衣
 3-N2::2-中低频,石 鹸[けん],⓪,名,せっけん,肥皂
 1-N4+N5,ゼロ,①,名,zero,零，零点；什么都没有
 1-N4+N5,センチ,①,名,(フ) centimètre,厘米
 1-N4+N5,そう,①⓪,副・感,そう,（表示同意、肯定）对，嗯；（突然想到）啊；那样，那么
 1-N4+N5,そうだ,①,感,そうだ,是啊，就是；（突然想到）对了
 1-N4+N5,そこ,⓪,代,そこ,（指代对方附近）那里；指刚才提及的事情或状态
 1-N4+N5,そして,⓪,接,そして,于是，然后
 1-N4+N5,そちら,⓪,代,そちら,（指代离对方近的事物）那里；指代对方或对方那边的人
 1-N4+N5,そっち,③,代,そっち,那边；那个，那个人
 1-N4+N5,その,⓪,連体,その,（指代对方附近的物品）那个
 1-N4+N5,その後,⓪,名,そのご,然后，从那以后
 1-N4+N5,蕎麦[そば],①,名,そば,荞麦面
 1-N4+N5,そば,①,名,そば,旁边，附近
 1-N4+N5,それ,⓪,代,それ,（表示离对方近的东西）那个
 1-N4+N5,それから,⓪,接,それから,然后；还有
 1-N4+N5,それでは,③,接,それでは,那么，那样的话
 3-N2::1-高频,だいぶ,⓪,副,だいぶ,很，相当
 1-N4+N5,だから,①,接,だから,因此，所以
 1-N4+N5,たくさん,⓪③,名・副,たくさん,许多，相当多
 1-N4+N5,タクシー,①,名,taxi,出租车，的士
 1-N4+N5,だけ,,副助,だけ,只，仅
 1-N4+N5,ただ,①,名・副・接,ただ,免费；只；不过
 1-N4+N5,ただ今,②④,名・副・感,ただいま,刚刚；现在；立刻；（ただいま）我回来了
 1-N4+N5,タバコ,⓪,名,(ポ) tabaco,烟草，香烟
 1-N4+N5,たぶん,①,副,たぶん,大概，大约
 1-N4+N5,ダンス,①,名,dance,（西洋风格的）舞蹈
 1-N4+N5,だんだん,⓪,副,だんだん,渐渐地，慢慢地
 1-N4+N5,チーズ,①,名,cheese,奶酪，芝士
 2-N3::2-中低频,チーム,①,名,team,队，组
 1-N4+N5,チケット,②①,名,ticket,票
 1-N4+N5,ちょうど,⓪,副,ちょうど,正好，恰好
 1-N4+N5,チョコレート,③,名,chocolate,巧克力
 1-N4+N5,ちょっと,①③,副・感,ちょっと,稍微，一点点
 4-N1::1-高频,ちらり,②,副,ちらり,（稍微看到）一闪，一晃；（稍微听到）略微，偶尔
 1-N4+N5,つまらない,③,連語,つまらない,无聊的；不值钱的，微薄的
 2-N3::2-中低频,テープ,①,名,tape,磁带，录音带；窄长的布、纸等
 1-N4+N5,テーブル,⓪,名,table,桌子，饭桌；表格
 1-N4+N5,テキスト,①②,名,text,教科书；文本
 1-N4+N5,できる,②,自動2・補動,できる,可以，会；做好，完成
 1-N4+N5,テスト,①,他動3・名,test,考试，测验
 1-N4+N5,では,①,接,では,那么，那样的话
 1-N4+N5,デパート,②,名,department store,百货商店
 1-N4+N5,でも,①,接,でも,然而，可是；即使……也
 1-N4+N5,テレビ,①,名,television,电视
 1-N4+N5,天ぷら,⓪,名,てんぷら,天妇罗（一种鱼和蔬菜等裹上面粉后油炸的食物）
 1-N4+N5,ドア,①,名,door,（西式风格的）门
 1-N4+N5,トイレ,①,名,toilet,卫生间，厕所
 1-N4+N5,どう,①,副,どう,怎么样
 1-N4+N5,どうして,①,副,どうして,为什么
 1-N4+N5,どうぞ,①,副,どうぞ,请
 1-N4+N5,どうも,①,副,どうも,非常，很；怎么也（不）；总觉得
 1-N4+N5,どうやって,,成句,どうやって,怎么（做）
 1-N4+N5,どこ,①,代,どこ,哪里
 1-N4+N5,どちら,①,代,どちら,哪里；哪个；哪位
 1-N4+N5,どっち,①,代,どっち,哪边；哪个，哪个人
 1-N4+N5,とても,⓪,副,とても,很，非常
 1-N4+N5,どなた,①,代,どなた,谁，哪位
 1-N4+N5,どの,①,連体,どの,哪一个
 2-N3::2-中低频,ドリンク,②,名,drink,饮料
 1-N4+N5,どれ,①,代,どれ,哪一个
 1-N4+N5,どれぐらい,,成句,どれぐらい,多少
 1-N4+N5,どんな,①,ナ形・連体,どんな,什么样的，哪种
 1-N4+N5,ない,①,イ形・補形,ない,没有，缺少
 1-N4+N5,ナイフ,①,名,knife,小刀；餐刀
 1-N4+N5,ながら,,接助,ながら,一边……一边……
 1-N4+N5,なぜ,①,副,なぜ,为什么，为何
 1-N4+N5,など,①,副助,など,……等，……之类的
 1-N4+N5,なる,①,自動1,なる,变成，成为；当
 1-N4+N5,にぎやか,②,ナ形,にぎやか,热闹，繁华
 1-N4+N5,ニュース,①,名,news,新闻
 1-N4+N5,ぬるい,②,イ形,ぬるい,（茶、洗澡水等没有达到预期的温度）温热的；不严格的
 1-N4+N5,ねえ,①,感・終助,ねえ,（打招呼时）喂，唉
 1-N4+N5,ネクタイ,①,名,necktie,领带
 1-N4+N5,ノート,①,他動3・名,note,笔记本，备忘录；记下来
 3-N2::2-中低频,ノートパソコン,④,名,notebook personal computer,笔记本电脑，笔电
 2-N3::2-中低频,のり,②,名,のり,糨糊，黏着剂
 1-N4+N5,パーティー,①,名,party,派对
 1-N4+N5,はい,①,感,はい,是的，对的
 2-N3::1-高频,バイク,①,名,bike,摩托车；自行车
 1-N4+N5,はく,⓪,他動1,はく,穿（下身衣物）
 1-N4+N5,バス,①,名,bus,巴士，公交车
 3-N2::2-中低频,ばっちり,③,副,ばっちり,（俗语）漂亮地，确实地，充分地
 1-N4+N5,バナナ,①,名,banana,香蕉
 1-N4+N5,パン,①,名,(ポ) pão,面包
 1-N4+N5,ハンカチ,⓪③,名,handkerchief,手帕
 1-N4+N5,プール,①,他動3・名,pool,游泳池
 2-N3::1-高频,ふらふら,①⓪,副・ナ形・自動3,ふらふら,（因无力而身体）晃悠，晕；游移不定；糊里糊涂
 2-N3::2-中低频,ふるさと,②,名,ふるさと,故乡，家乡
 1-N4+N5,ページ,⓪,名,page,页，页面
 1-N4+N5,ベッド,①,名,bed,床
 1-N4+N5,ペン,①,名,pen,笔
 1-N4+N5,ボールペン,⓪,名,ball pen,圆珠笔
 2-N3::1-高频,ポケット,②①,名,pocket,口袋
 1-N4+N5,ポスト,①,名,post,信箱；职位
 1-N4+N5,ボタン,⓪①,名,button,纽扣；按钮
 1-N4+N5,ホテル,①,名,hotel,（西式）宾馆，旅馆，酒店
 1-N4+N5,まず,①,副,まず,首先
 1-N4+N5,まずい,②,イ形,まずい,难吃的；不好，糟糕
 1-N4+N5,また,⓪②,副・接,また,又，再；同样；另外，下次
 1-N4+N5,まだ,①,副,まだ,还没；还
 1-N4+N5,まっすぐ,③,名・ナ形・副,まっすぐ,笔直；直接
 2-N3::2-中低频,マンション,①,名,mansion,（钢筋混凝土建造的）高级公寓，居民楼
 1-N4+N5,みそ汁,③,名,みそしる,味噌汤
 1-N4+N5,ミルク,①,名,milk,牛奶
 1-N4+N5,みんな,③⓪,副・名,みんな,大家，诸位；全部
 1-N4+N5,メートル,⓪,名,metre,米
 1-N4+N5,メール,⓪,名,mail,（电子）邮件
 2-N3::2-中低频,メールアドレス,④,名,mail address,邮箱地址
 1-N4+N5,もう,①⓪,副,もう,已经；马上；再
 1-N4+N5,もしもし,①,感,もしもし,（打电话时）喂；（对不认识的人的称呼）喂
 1-N4+N5,もっと,①,副,もっと,更加
 1-N4+N5,ゆうべ,③,名,ゆうべ,昨晚
 1-N4+N5,ゆっくり,③,副・自動3,ゆっくり,缓慢地；悠闲地，舒服地
 1-N4+N5,ヨーロッパ,③,名,(ポ) Europa,欧洲
 1-N4+N5,ラーメン,①,名,らーめん,拉面
 1-N4+N5,ラジオ,①,名,radio,收音机；广播
 2-N3::1-高频,ラジカセ,⓪,名,(和) radio＋cassette,收录音机
 1-N4+N5,りんご,⓪,名,りんご,苹果
 4-N1::3-低频,レコード,①②,名,record,纪录；唱片
 1-N4+N5,レストラン,①,名,(フ) restaurant,西餐厅，饭店
 1-N4+N5,ワイシャツ,⓪,名,white shirt,男式衬衫
 1-N4+N5,悪い,②,イ形,わるい,坏的，不好的
 1-N4+N5,安い,②,イ形,やすい,便宜的
 1-N4+N5,暗い,⓪,イ形,くらい,黑的；发暗的；阴沉的
 1-N4+N5,以外,①,名,いがい,以外
 1-N4+N5,以上,①,名,いじょう,以上
 1-N4+N5,以前,①,名,いぜん,以前，之前；（在某时期）以前
 1-N4+N5,以内,①,名,いない,以内，之内
 1-N4+N5,意味,①,名・自他動3,いみ,意思；意图；价值
 1-N4+N5,易しい,⓪③,イ形,やさしい,容易的，简单的
 1-N4+N5,椅子,⓪,名,いす,椅子；地位
 1-N4+N5,違う,⓪,自動1,ちがう,不一样；错误
 1-N4+N5,医者,⓪,名,いしゃ,医生
 1-N4+N5,一つ,②,名,ひとつ,一个；一岁
 1-N4+N5,一緒,⓪,名,いっしょ,一起；同样的；合在一起
 1-N4+N5,一人,②,名,ひとり,一个人；独自
 1-N4+N5,一日,④⓪,名,いちにち,一天；一整天；某一天
 1-N4+N5,一日,④⓪,名,ついたち,一号，一个月的第一天
 1-N4+N5,一番,②⓪,名・副,いちばん,第一，最好；最
 1-N4+N5,引く,⓪,他動1,ひく,拉；减；画（线）；吸引
 1-N4+N5,飲み物,②,名,のみもの,饮料
 1-N4+N5,飲む,①,他動1,のむ,喝
 2-N3::2-中低频,飲食,①⓪,名・自他動3,いんしょく,饮食
 1-N4+N5,右,⓪,名,みぎ,右
 1-N4+N5,雨,①,名,あめ,雨，雨天
 1-N4+N5,運動,⓪,名・自動3,うんどう,运动
 1-N4+N5,運動会,③,名,うんどうかい,运动会
 1-N4+N5,運動場,⓪,名,うんどうじょう,运动场，操场
 1-N4+N5,映画,①⓪,名,えいが,电影
 1-N4+N5,映画館,③,名,えいがかん,电影院，剧院
 1-N4+N5,泳ぐ,②,自動1,およぐ,游泳
 1-N4+N5,英語,⓪,名,えいご,英语
 1-N4+N5,駅,①,名,えき,车站
 1-N4+N5,駅前,③⓪,名,えきまえ,（电车、地铁的）车站周边
 1-N4+N5,円,①,名・造,えん,圆形；日元
 1-N4+N5,遠い,⓪,イ形,とおい,远的
 1-N4+N5,鉛筆,⓪,名,えんぴつ,铅笔
 1-N4+N5,塩,②,名,しお,食盐
 1-N4+N5,汚い,③,イ形,きたない,脏的；杂乱的；卑鄙的
 1-N4+N5,奥さん,①,名,おくさん,您妻子，夫人，太太
 1-N4+N5,押す,⓪,他動1,おす,压，按；推
 1-N4+N5,横,⓪,名,よこ,横；侧面，旁边；躺下
 2-N3::2-中低频,横断歩道,⑤,名,おうだんほどう,人行横道
 1-N4+N5,黄色い,⓪,イ形,きいろい,黄色的
 2-N3::2-中低频,億,①,名,おく,亿
 2-N3::2-中低频,俺,⓪,代,おれ,（非正式场合的男性自称）我
 1-N4+N5,温かい,④,イ形,あたたかい,温的；温暖的，热情的
 1-N4+N5,温泉,⓪,名,おんせん,温泉
 1-N4+N5,音,②,名,おと,（非生命物体发出的）声音
 1-N4+N5,音楽,①⓪,名,おんがく,音乐
 1-N4+N5,下,⓪②,名,した,下面；里面；（年龄、地位、程度、能力等）低
 1-N4+N5,下手,②,名・ナ形,へた,不擅长，笨拙
 1-N4+N5,何,①⓪,代・副・感,なに,什么
 1-N4+N5,何,①,代・接頭,なん,什么
 1-N4+N5,何か,①,連語,なにか,（不确定的）什么，某些
 1-N4+N5,夏,②,名,なつ,夏天，夏季
 1-N4+N5,夏休み,③,名,なつやすみ,暑假
 1-N4+N5,家,②,名,いえ,房子；家庭
 1-N4+N5,うち,⓪②,名,うち,家，家庭，自己家（家人）
 1-N4+N5,家具,①,名,かぐ,家具
 1-N4+N5,家族,①,名,かぞく,家族，家属
 2-N3::2-中低频,家庭,⓪,名,かてい,家庭
 1-N4+N5,暇,⓪,名・ナ形,ひま,（做某事的）时间；闲空，余暇
 1-N4+N5,果物,②,名,くだもの,水果
 1-N4+N5,歌,②,名,うた,歌曲
 1-N4+N5,歌う,⓪,他動1,うたう,唱歌
 1-N4+N5,火曜日,②,名,かようび,周二
 1-N4+N5,花,②,名,はな,花
 1-N4+N5,荷物,①,名,にもつ,行李，货物
 1-N4+N5,課長,⓪,名,かちょう,课长，处长
 1-N4+N5,会う,①,自動1,あう,见面；偶遇
 1-N4+N5,会議,①③,名・自他動3,かいぎ,会议
 1-N4+N5,会議室,③,名,かいぎしつ,会议室
 1-N4+N5,会社,⓪,名,かいしゃ,公司
 1-N4+N5,会社員,③,名,かいしゃいん,公司职员
 1-N4+N5,会話,⓪,名・自動3,かいわ,会话；对话，谈话
 1-N4+N5,海,①,名,うみ,大海，海洋
 2-N3::1-高频,海外,①,名,かいがい,海外，国外
 1-N4+N5,皆さん,②,名・代,みなさん,各位，诸位
 1-N4+N5,絵,①,名,え,画，绘画
 1-N4+N5,開く,⓪,自動1,あく,打开；开始营业
 1-N4+N5,開ける,⓪,他動2,あける,打开，翻开；开张
 1-N4+N5,階段,⓪,名,かいだん,楼梯，台阶
 1-N4+N5,外,①,名,そと,外边，外面，外部
 1-N4+N5,外国,⓪,名,がいこく,外国，国外
 1-N4+N5,外国人,④,名,がいこくじん,外国人
 1-N4+N5,街,②,名,まち,大街
 1-N4+N5,角,①,名,かど,（道路等）拐角；（桌子等）棱角
 1-N4+N5,学校,⓪,名,がっこう,学校
 1-N4+N5,学生,⓪,名,がくせい,学生
 1-N4+N5,楽しい,③,イ形,たのしい,愉快的，快乐的
 1-N4+N5,掛かる,②,自動1,かかる,花费；悬挂；上锁
 1-N4+N5,掛ける,②,他動2,かける,挂；带上；打（电话）；花费；坐；上锁
 1-N4+N5,活動,⓪,名・自動3,かつどう,活动
 2-N3::2-中低频,滑る,②,自動1,すべる,滑行；打滑
 1-N4+N5,寒い,②,イ形,さむい,（天气）冷的
 2-N3::2-中低频,歓迎会,③,名,かんげいかい,迎新会
 1-N4+N5,漢字,⓪,名,かんじ,汉字
 1-N4+N5,甘い,⓪②,イ形,あまい,甜的；宽松的，不严厉的
 1-N4+N5,丸い,⓪,イ形,まるい,圆的；圆滑的
 1-N4+N5,眼鏡,①,名,めがね,眼镜
 1-N4+N5,顔,⓪,名,かお,脸；表情；面子；人
 2-N3::1-高频,企業,①,名,きぎょう,企业
 1-N4+N5,危ない,⓪③,イ形,あぶない,危险的
 1-N4+N5,机,⓪,名,つくえ,桌子，书桌
 1-N4+N5,帰り,③,名,かえり,回来，回程
 1-N4+N5,帰る,①,自動1,かえる,回去
 1-N4+N5,帰国,⓪,名・自動3,きこく,回国
 2-N3::1-高频,気温,⓪,名,きおん,气温
 1-N4+N5,季節,②①,名,きせつ,季节
 2-N3::2-中低频,記念品,⓪,名,きねんひん,纪念品
 1-N4+N5,起きる,②,自動2,おきる,站起来；起床；没睡觉；发生
 1-N4+N5,喫茶店,⓪③,名,きっさてん,咖啡厅，茶馆
 1-N4+N5,休む,②,自他動1,やすむ,休息；睡觉；缺席
 1-N4+N5,吸う,⓪,他動1,すう,吸；吮吸；吸收
 1-N4+N5,泣く,⓪,自動1,なく,哭，哭泣
 1-N4+N5,牛乳,⓪,名,ぎゅうにゅう,牛奶
 1-N4+N5,去年,①,名,きょねん,去年
 1-N4+N5,魚,⓪,名,さかな,鱼，鱼类
 4-N1::3-低频,魚屋,⓪,名,さかなや,鱼店，水产店
 1-N4+N5,強い,②,イ形,つよい,强的，激烈的
 1-N4+N5,教える,⓪,他動2,おしえる,教，传授；告诉
 1-N4+N5,教室,⓪,名,きょうしつ,教室；培训班
 1-N4+N5,橋,②,名,はし,桥，桥梁
 1-N4+N5,狭い,②,イ形,せまい,窄的，狭小的；狭隘的
 1-N4+N5,興味,①,名,きょうみ,兴趣
 1-N4+N5,近い,②,イ形,ちかい,近的，靠近的
 1-N4+N5,近く,②①,名・副,ちかく,附近；将近，几乎；不久
 1-N4+N5,金,⓪,名,かね,金钱，钱
 1-N4+N5,金曜日,③,名,きんようび,周五
 4-N1::1-高频,銀,①,名,ぎん,银；银色
 1-N4+N5,銀行,⓪,名,ぎんこう,银行
 2-N3::2-中低频,銀行員,③,名,ぎんこういん,银行工作人员
 1-N4+N5,九つ,②,名,ここのつ,九个；九岁
 1-N4+N5,九日,④,名,ここのか,九号；九天
 1-N4+N5,空,①,名,そら,天空
 1-N4+N5,靴,②,名,くつ,鞋子
 1-N4+N5,靴下,②④,名,くつした,袜子
 1-N4+N5,兄,①,名,あに,（自己的）哥哥，姐夫
 1-N4+N5,兄弟,①,名,きょうだい,兄弟姐妹
 3-N2::2-中低频,警官,⓪,名,けいかん,警察，警官
